;molecule_chembl_id;units;IC50;pIC50;smiles;MW;HBA;HBD;LogP;rule_of_five_conform
22;CHEMBL54400;nM;0.13;9.886056647693165;CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1;329.02760748400004;5;2;3.5726000000000013;yes
23;CHEMBL51853;nM;0.13;9.886056647693165;Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1;315.01195742000004;5;2;3.113100000000001;yes
24;CHEMBL417478;nM;0.16;9.795880017344077;Fc1ccc(Nc2ncnc3cc(\C=C\CCN4CCOCC4)c(NC(=O)C=C)nc23)cc1Cl;482.163329908;7;2;4.420900000000003;yes
25;CHEMBL3357641;nM;0.16;9.795880017344077;CN(C)C\C=C(/F)\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4;503.153573748;7;2;4.687100000000003;yes
26;CHEMBL418967;nM;0.17;9.769551078621726;CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC;415.08953904399993;5;1;5.713500000000004;yes
27;CHEMBL592617;nM;0.17;9.769551078621726;Brc1cccc(Nc2ncnc3ccc(NC(=O)CC#N)cc23)c1;381.022522104;5;2;3.988080000000001;yes
28;CHEMBL93032;nM;0.17;9.769551078621726;Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O;330.99563865999994;5;3;3.5471000000000017;yes
30;CHEMBL166093;nM;0.18;9.744727494896694;OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1;389.0487368520001;7;4;2.2959999999999994;yes
31;CHEMBL2031302;nM;0.18;9.744727494896694;CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C;386.094581652;5;2;4.6891000000000025;yes
32;CHEMBL165864;nM;0.19;9.721246399047173;OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1;359.0381721680001;6;3;2.9351000000000003;yes
33;CHEMBL166154;nM;0.19;9.721246399047173;CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1;285.078123064;5;2;3.4635000000000007;yes
34;CHEMBL3357634;nM;0.2;9.69897000433602;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C\CN(C)C)\F;447.127359;6;2;4.528000000000004;yes
35;CHEMBL437879;nM;0.20800000000000002;9.681936665037238;COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC;367.02906020399996;5;1;4.836500000000003;yes
36;CHEMBL161956;nM;0.22;9.657577319177793;CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1;373.0538222320001;6;2;2.9594000000000005;yes
37;CHEMBL2031300;nM;0.23;9.638272163982409;CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1;468.12732152;6;2;3.7119000000000018;yes
38;CHEMBL316064;nM;0.24;9.619788758288394;COc1cc2ncnc(Nc3cccc(c3)C(F)(F)F)c2cc1OC;349.10381134799997;5;1;4.409400000000002;yes
39;CHEMBL127041;nM;0.24;9.619788758288394;OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1;359.038172168;6;3;2.9351000000000003;yes
40;CHEMBL328955;nM;0.25;9.602059991327963;Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1;270.067224032;4;2;3.609000000000001;yes
41;CHEMBL52913;nM;0.25;9.602059991327963;Clc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1;324.077788716;4;2;4.151300000000001;yes
42;CHEMBL3360608;nM;0.26;9.585026652029182;COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCn4ccnc4[N+](=O)[O-];458.170253184;9;1;4.327200000000003;yes
43;CHEMBL3357639;nM;0.26;9.585026652029182;F\C(=C/CN1CCOCC1)\C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]5CCOC5;545.1641384320001;8;2;4.457700000000003;yes
44;CHEMBL3357635;nM;0.27;9.568636235841012;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C\CN4CCCCC4)\F;487.158659128;6;2;5.452300000000005;yes
45;CHEMBL2031303;nM;0.27;9.568636235841012;CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C;431.15243087600004;6;2;4.454800000000003;yes
46;CHEMBL2031298;nM;0.27;9.568636235841012;Brc1cccc(Nc2ncnc3ccc(NC(=O)CCN4CCCCC4)cc23)c1;453.116422488;5;2;4.950400000000003;yes
47;CHEMBL152905;nM;0.27;9.568636235841012;Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1;369.9887794520001;5;2;4.932800000000002;yes
48;CHEMBL3929484;nM;0.27;9.568636235841012;ONC(=O)CCCCCn1cc(nn1)c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2;469.1429288120001;8;3;4.490200000000003;yes
49;CHEMBL355816;nM;0.28;9.55284196865778;OC(=O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1;373.0174367240001;6;3;3.027400000000001;yes
50;CHEMBL128468;nM;0.28;9.55284196865778;OC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1;401.048736852;6;3;3.8076000000000016;yes
51;CHEMBL2031297;nM;0.28;9.55284196865778;CN(C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;413.08512236;5;2;4.026100000000001;yes
52;CHEMBL426580;nM;0.29;9.537602002101043;Cc1nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2[nH]1;353.02760748400004;4;2;4.320620000000002;yes
54;CHEMBL2031305;nM;0.29;9.537602002101043;CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN4CCOCC4;473.16299556;7;2;4.225400000000003;yes
55;CHEMBL203644;nM;0.3;9.522878745280336;CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1;355.0636158720001;5;2;3.5227000000000013;yes
56;CHEMBL3623290;nM;0.3;9.522878745280336;COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N4CCN(C)C[C@H]4C;459.147345496;7;1;4.309200000000003;yes
57;CHEMBL3357644;nM;0.3;9.522878745280336;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C/CN4CCOCC4)\F;489.137923684;7;2;4.298600000000003;yes
59;CHEMBL3360603;nM;0.31;9.508638306165727;COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn4ccnc4[N+](=O)[O-];486.12185902;9;1;5.138400000000003;yes
60;CHEMBL3357642;nM;0.31;9.508638306165727;CN(C)C\C=C(\F)/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4;503.153573748;7;2;4.687100000000003;yes
62;CHEMBL3360606;nM;0.32;9.494850021680094;COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCn4ccnc4[N+](=O)[O-];502.11677363999996;10;1;4.374800000000003;yes
64;CHEMBL366580;nM;0.34;9.468521082957745;Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1;339.01195742000004;4;2;4.012200000000001;yes
65;CHEMBL91980;nM;0.35;9.455931955649724;Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1;362.00284435200007;4;2;3.560200000000001;yes
66;CHEMBL163369;nM;0.35;9.455931955649724;OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1;460.1222361400001;8;4;2.6194999999999995;yes
67;CHEMBL603266;nM;0.36;9.443697499232712;Brc1cccc(Nc2ncnc3ccc(NC(=O)CN4SC=CC4=O)cc23)c1;455.005157788;7;2;3.9978000000000016;yes
69;CHEMBL39320;nM;0.37;9.431798275933003;Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12;353.02760748400004;5;1;4.022600000000002;yes
70;CHEMBL599863;nM;0.37;9.431798275933003;Brc1cccc(Nc2ncnc3ccc(NC(=O)CNC(=O)Oc4ccccc4)cc23)c1;491.05930153599996;6;3;4.863000000000001;yes
72;CHEMBL2447950;nM;0.38;9.42021640338319;Cl.CCOc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCC;379.085432208;5;1;5.246000000000002;yes
73;CHEMBL2029434;nM;0.38;9.42021640338319;COc1cc(ccc1Nc2ncc3CN(C(C)C)C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)N5CCN(C)CC5;556.2910370120001;8;2;4.587200000000003;yes
74;CHEMBL3895676;nM;0.4;9.397940008672037;CO[C@H]1COC2[C@H](COC12)Oc3cc4ncnc(Nc5ccc(F)c(Cl)c5)c4cc3\N=C(/O)\C=C\CN(C)C;557.1841249280001;9;2;4.431700000000003;yes
75;CHEMBL51741;nM;0.4;9.397940008672037;Brc1ccc2CCN(c2c1)c3ncnc4ccc(NC(=O)C=C)cc34;394.0429232;4;1;4.211000000000002;yes
76;CHEMBL3759317;nM;0.4;9.397940008672037;COc1cc(cc(OC)c1c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2)C(=O)NCCN(C)C;505.21476085200015;8;2;4.840000000000003;yes
77;CHEMBL3901622;nM;0.4;9.397940008672037;C[C@@H](Nc1ncnc2oc(cc12)c3ccc(NCCN(C)C)cc3)c4ccccc4;401.221560484;6;2;5.036400000000004;yes
78;CHEMBL3674150;nM;0.4;9.397940008672037;CC(C)n1c(Nc2ccccc2)nc3cnc(Nc4ccc(cc4F)C(=O)NN5CCN(C)CC5)nc13;503.2557348;9;3;3.9257000000000017;yes
79;CHEMBL3678946;nM;0.4;9.397940008672037;CC(C)n1c(Nc2ccccc2)nc3cnc(Nc4ccc(cc4)C(=O)NC5CCN(C)CC5)nc13;484.269907644;8;3;4.7184000000000035;yes
80;CHEMBL1204199;nM;0.41;9.387216143280265;Cl.CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC;423.034916628;5;1;5.355100000000003;yes
81;CHEMBL2029429;nM;0.41;9.387216143280265;COc1cc(Nc2ncc3CN(C)C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)ccc1N5CCN(C)CC5;528.2597368840001;8;2;3.808600000000003;yes
82;CHEMBL31815;nM;0.42;9.3767507096021;Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1;304.132411132;4;2;3.8063200000000013;yes
83;CHEMBL2029428;nM;0.43;9.366531544420411;CN1CCN(CC1)c2ccc(Nc3ncc4CN(C)C(=O)N(c5cccc(NC(=O)C=C)c5)c4n3)cc2;498.24917220000003;7;2;3.8000000000000025;yes
84;CHEMBL188762;nM;0.43;9.366531544420411;CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;370.0429232;4;2;4.484400000000003;yes
85;CHEMBL351629;nM;0.44;9.356547323513812;CN(CC(=O)O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1;387.0330867880001;6;2;3.051700000000001;yes
86;CHEMBL40734;nM;0.44;9.356547323513812;Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1;338.01670845200005;3;2;4.617200000000001;yes
87;CHEMBL39337;nM;0.44;9.356547323513812;Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1;339.01195742;4;2;4.012200000000001;yes
88;CHEMBL304271;nM;0.45;9.346787486224656;CCN(CC)CC(O)CNC(=O)c1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1;541.2004436880001;7;5;3.57442;yes
89;CHEMBL162821;nM;0.45;9.346787486224656;CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1;265.13274548;5;2;3.118520000000001;yes
90;CHEMBL443523;nM;0.45;9.346787486224656;Brc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1;368.027273136;4;2;4.2604000000000015;yes
91;CHEMBL539822;nM;0.47;9.327902142064282;Cl.Nc1ccc2c(c1)sc3c(Nc4cccc(Br)c4)ncnc23;405.96545716400004;5;2;5.354600000000002;yes
92;CHEMBL3818015;nM;0.47;9.327902142064282;COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)[C@@H]4COC(=O)N4;457.03856609199994;7;3;3.1914000000000007;yes
93;CHEMBL3355875;nM;0.47;9.327902142064282;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn4ccnc4[N+](=O)[O-];486.12185902;9;1;5.138400000000003;yes
94;CHEMBL3360609;nM;0.47;9.327902142064282;COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCCn4ccnc4[N+](=O)[O-];472.185903248;9;1;4.717300000000003;yes
95;CHEMBL54088;nM;0.48;9.318758762624412;Cc1cccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)c1;305.1276601;5;2;3.201320000000001;yes
96;CHEMBL2021576;nM;0.49;9.309803919971486;OC(=O)[C@H]1O[C@@H]1C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2;428.01201699600006;6;3;2.9264;yes
97;CHEMBL3355881;nM;0.49;9.309803919971486;COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCn4ccnc4[N+](=O)[O-];472.185903248;9;1;4.717300000000004;yes
98;CHEMBL3360617;nM;0.49;9.309803919971486;COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn4ccnc4[N+](=O)[O-];498.06511518800005;9;1;4.718300000000004;yes
99;CHEMBL2021575;nM;0.5;9.30102999566398;OC(=O)[C@@H]1O[C@H]1C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2;428.01201699600006;6;3;2.9264;yes
100;CHEMBL3355882;nM;0.5;9.30102999566398;COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCCn4ccnc4[N+](=O)[O-];486.201553312;9;1;5.107400000000005;yes
101;CHEMBL3758582;nM;0.5;9.30102999566398;COc1ccc(cc1c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2)C(=O)NCCN(C)C;475.2041961680001;7;2;4.831400000000004;yes
102;CHEMBL203599;nM;0.5;9.30102999566398;CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1;467.1636642560001;7;2;3.1403000000000016;yes
103;CHEMBL3758770;nM;0.5;9.30102999566398;COc1cc(ccc1c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2)C(=O)NCCN(C)C;475.2041961680001;7;2;4.831400000000004;yes
104;CHEMBL2031299;nM;0.51;9.292429823902065;Brc1cccc(Nc2ncnc3ccc(NC(=O)CCN4CCOCC4)cc23)c1;455.095687044;6;2;3.796700000000002;yes
106;CHEMBL2031304;nM;0.51;9.292429823902065;CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN4CCCCC4;471.18373100400004;6;2;5.379100000000005;yes
108;CHEMBL126791;nM;0.51;9.292429823902065;Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1;423.0807056760001;7;2;4.229600000000001;yes
111;CHEMBL3357643;nM;0.53;9.275724130399214;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C\CN4CCOCC4)\F;489.137923684;7;2;4.298600000000003;yes
113;CHEMBL49986;nM;0.54;9.267606240177033;Brc1cccc(Nc2ncnc3cc(NC(=O)C=C)ncc23)c1;369.022522104;5;2;3.6554;yes
114;CHEMBL3360611;nM;0.54;9.267606240177033;COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCOCCn4ccnc4[N+](=O)[O-];474.16516780399996;10;1;3.563600000000002;yes
115;CHEMBL3355880;nM;0.56;9.251811972993801;COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCn4ccnc4[N+](=O)[O-];458.170253184;9;1;4.327200000000003;yes
116;CHEMBL165547;nM;0.56;9.251811972993801;CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1;403.0643869160001;7;3;2.3202999999999996;yes
117;CHEMBL3360610;nM;0.57;9.244125144327509;COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCCCn4ccnc4[N+](=O)[O-];486.201553312;9;1;5.107400000000004;yes
119;CHEMBL2029435;nM;0.58;9.236572006437065;COc1cc(ccc1Nc2ncc3CN(C4CC4)C(=O)N(c5cccc(NC(=O)C=C)c5)c3n2)N6CCN(C)CC6;554.2753869480001;8;2;4.341200000000002;yes
120;CHEMBL3891846;nM;0.6;9.221848749616356;C[C@@H](Nc1ncnc2oc(cc12)c3ccc(NCCN4CCCCC4)cc3)c5ccccc5;441.252860612;6;2;5.9607000000000046;yes
121;CHEMBL3678960;nM;0.6;9.221848749616356;CC(C)n1c(Nc2ccccc2)nc3cnc(Nc4cccc(NC(=O)C=C)c4)nc13;413.196408356;7;3;5.018900000000003;yes
122;CHEMBL378144;nM;0.6;9.221848749616356;Brc1cccc(Nc2ncnc3cnc(NC(=O)C#C)cc23)c1;367.00687203999996;5;2;3.1026;yes
123;CHEMBL127086;nM;0.61;9.214670164989233;OC(=O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1;387.033086788;6;3;3.4175000000000013;yes
124;CHEMBL1204262;nM;0.64;9.193820026016114;Cl.CCOc1cc2ncnc(Nc3cccc(I)c3)c2cc1OCC;471.021052528;5;1;5.197200000000003;yes
125;CHEMBL162622;nM;0.65;9.187086643357144;Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1;428.096021392;7;2;3.2750000000000012;yes
126;CHEMBL3360607;nM;0.65;9.187086643357144;COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCn4ccnc4[N+](=O)[O-];444.15460312;9;1;3.9371000000000027;yes
127;CHEMBL3920583;nM;0.65;9.187086643357144;ONC(=O)CCCCCn1cc(nn1)c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2;469.1429288120001;8;3;4.490200000000002;yes
128;CHEMBL1204168;nM;0.66;9.18045606445813;Cl.COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC;395.0036165;5;1;4.574900000000002;yes
129;CHEMBL3355878;nM;0.66;9.18045606445813;COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCn4ccnc4[N+](=O)[O-];498.065115188;9;1;4.718300000000004;yes
130;CHEMBL3814257;nM;0.662;9.1791420105603;CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1;330.06836690399996;4;2;4.124300000000002;yes
131;CHEMBL317925;nM;0.67;9.173925197299171;COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC;389.0375034719999;6;1;4.161700000000003;yes
132;CHEMBL3357636;nM;0.67;9.173925197299171;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C/CN4CCCCC4)\F;487.158659128;6;2;5.452300000000005;yes
133;CHEMBL2031307;nM;0.68;9.167491087293763;CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C;455.15243087600004;6;2;4.931480000000004;yes
134;CHEMBL280757;nM;0.69;9.161150909262744;Fc1ccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc1Br;386.01785132400005;4;2;4.3995000000000015;yes
135;CHEMBL92937;nM;0.69;9.161150909262744;CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N;343.04325754800004;5;3;3.759800000000001;yes
136;CHEMBL3957055;nM;0.69;9.161150909262744;ONC(=O)CCCCCCn1cc(nn1)c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2;483.1585788760001;8;3;4.880300000000004;yes
138;CHEMBL3909201;nM;0.7;9.154901959985743;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3F)c2cc1OC4CN(C4)C(=O)C=C;446.095724524;6;1;4.0892000000000035;yes
139;CHEMBL289213;nM;0.72;9.142667503568733;CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12;439.06438691600005;5;3;4.133600000000002;yes
140;CHEMBL54091;nM;0.72;9.142667503568733;Fc1ccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)cc1Br;387.01310029200005;5;2;3.794500000000001;yes
141;CHEMBL339416;nM;0.74;9.130768280269024;[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1;458.10658607600004;7;2;3.6777000000000024;yes
142;CHEMBL28418;nM;0.75;9.1249387366083;Fc1ccc(Nc2ncnc3ccc(NC(=O)C=C)nc23)cc1Cl;343.063615872;5;2;3.6854000000000013;yes
143;CHEMBL31373;nM;0.75;9.1249387366083;Fc1ccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc1Cl;342.068366904;4;2;4.290400000000002;yes
144;CHEMBL53555;nM;0.77;9.113509274827518;Fc1ccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)cc1Cl;343.063615872;5;2;3.6854000000000013;yes
145;CHEMBL3360602;nM;0.77;9.113509274827518;COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCn4ccnc4[N+](=O)[O-];472.106208956;9;1;4.748300000000003;yes
146;CHEMBL3814882;nM;0.772;9.112382699664265;Brc1cccc(Nc2ncnc3ccc(NC(=O)NCCN4CCCCC4)cc23)c1;468.12732152000007;5;3;4.743300000000003;yes
147;CHEMBL162142;nM;0.78;9.10790539730952;Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1;409.06505561200004;6;3;3.9086;yes
150;CHEMBL53300;nM;0.79;9.102372908709556;Nc1ccc2ncncc2c1;145.063997224;3;1;1.212;yes
152;CHEMBL36727;nM;0.8;9.096910013008056;Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12;352.03235851600004;4;1;4.627600000000002;yes
153;CHEMBL1243345;nM;0.8;9.096910013008056;CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)CCF;499.158659128;6;2;5.437280000000004;yes
154;CHEMBL3814959;nM;0.8029999999999999;9.095284454721321;NC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3)c2c1;357.022522104;4;3;3.626500000000002;yes
155;CHEMBL3360620;nM;0.82;9.086186147616283;COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCOCCn4ccnc4[N+](=O)[O-];528.075679872;10;1;4.344800000000004;yes
157;CHEMBL3814211;nM;0.8540000000000001;9.068542129310996;NC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1;331.063615872;4;3;3.656500000000001;yes
159;CHEMBL96065;nM;0.89;9.050609993355089;COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC;407.01307468799996;5;1;3.9952000000000023;yes
160;CHEMBL3355874;nM;0.89;9.050609993355089;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCn4ccnc4[N+](=O)[O-];472.106208956;9;1;4.748300000000003;yes
161;CHEMBL3233785;nM;0.9;9.045757490560677;Fc1ccc(Nc2ncnc3sc(NC(=O)\C=C\CN4CC5CCC4C(=O)C5)cc23)cc1Cl;485.108851812;7;2;4.775500000000004;yes
162;CHEMBL3759369;nM;0.9;9.045757490560677;C[C@@H](Nc1ncnc2sc(cc12)c3cccc(c3)C(=O)NCCN(C)C)c4ccccc4;445.19363148400004;6;2;4.822800000000004;yes
163;CHEMBL3622664;nM;0.9;9.045757490560677;CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CNC4CC4;455.15243087600004;6;3;4.811300000000004;yes
164;CHEMBL3759199;nM;0.9;9.045757490560677;COc1cccc(OC)c1c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2;407.13036253200005;7;2;4.521000000000002;yes
165;CHEMBL3946096;nM;0.9;9.045757490560677;CNC(=O)[C@H]1C[C@@H](CCN1C(=O)C=C)Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC;531.148488368;7;2;3.9840000000000018;yes
