"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL515885";"";"0";"424.36";"0";"4.02";"8l";"CSc1nc(N2CCOCC2)c2cnn(CC(Cl)c3ccc(Cl)cc3)c2n1";"Ki";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"14.85";"0.32";"2.28";"11.24";"False";"CHEMBL962773";"Inhibition of human recombinant Abl by filter-binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140987";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2008";"None"
"CHEMBL454144";"";"0";"406.35";"0";"4.51";"9a";"CCCNc1nc(SC)nc2c1cnn2CC(Br)c1ccccc1";"Ki";"'='";"880.0";"nM";"6.06";"";"";"UO_0000065";"14.90";"0.34";"1.55";"10.89";"False";"CHEMBL962773";"Inhibition of human recombinant Abl by filter-binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140987";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2008";"None"
"CHEMBL473516";"";"0";"454.40";"1";"5.30";"9g";"CSc1nc(NCc2ccccc2)c2cnn(CC(Br)c3ccccc3)c2n1";"Ki";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"14.79";"0.33";"1.42";"12.08";"False";"CHEMBL962773";"Inhibition of human recombinant Abl by filter-binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140987";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2008";"None"
"CHEMBL473726";"";"0";"406.92";"0";"4.48";"10c";"CN(C)c1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1";"Ki";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"16.70";"0.32";"2.32";"11.54";"False";"CHEMBL962773";"Inhibition of human recombinant Abl by filter-binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140987";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2008";"None"
"CHEMBL941";"IMATINIB";"4";"493.62";"0";"4.59";"Imatinib";"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1";"Ki";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"15.98";"0.29";"3.30";"9.14";"True";"CHEMBL962773";"Inhibition of human recombinant Abl by filter-binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140987";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2008";"None"
"CHEMBL379308";"";"0";"513.09";"1";"3.24";"17, BAS00387275";"O=C1NN(c2ccc(I)cc2)C(=O)/C1=C\c1cc2c(cc1Br)OCO2";"Ki";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"10.92";"0.31";"2.36";"8.25";"False";"CHEMBL859157";"Binding affinity to human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148493";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL378175";"";"0";"475.29";"0";"2.59";"16, BAS00387334";"O=C1NN(c2ccc(I)cc2)C(=O)/C1=C\c1ccc(N2CCOCC2)cc1";"Ki";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"9.89";"0.24";"2.11";"7.59";"False";"CHEMBL859157";"Binding affinity to human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148493";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL376993";"";"0";"385.51";"0";"4.31";"8, BAS09534324";"COc1cc(SC)ccc1C(=O)Nc1nnc(CCc2ccccc2)s1";"Ki";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"14.78";"0.30";"1.39";"8.89";"False";"CHEMBL859157";"Binding affinity to human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148493";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL478825";"";"0";"301.40";"0";"3.44";"17";"O=C(Nc1nnc(Cc2ccccc2)s1)c1cccs1";"Ki";"'='";"360.0";"nM";"6.44";"";"";"UO_0000065";"21.38";"0.44";"3.00";"11.74";"False";"CHEMBL983798";"Inhibition of Abl kinase by cell free assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155853";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL477139";"";"0";"328.42";"0";"4.04";"16";"COc1ccc2c(c1)Cc1sc(NC(=O)c3cccs3)nc1-2";"Ki";"'='";"68.0";"nM";"7.17";"";"";"UO_0000065";"21.82";"0.44";"3.13";"13.99";"False";"CHEMBL983798";"Inhibition of Abl kinase by cell free assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155853";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL517204";"";"0";"334.85";"0";"4.70";"5";"O=C(Nc1ncc(Cc2ccccc2Cl)s1)c1cccs1";"Ki";"'='";"245.0";"nM";"6.61";"";"";"UO_0000065";"19.74";"0.43";"1.91";"15.74";"False";"CHEMBL983798";"Inhibition of Abl kinase by cell free assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155853";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL941";"IMATINIB";"4";"493.62";"0";"4.59";"imatinib";"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1";"Ki";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"15.98";"0.29";"3.30";"9.14";"True";"CHEMBL932076";"Inhibition of human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142311";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL402891";"";"0";"375.45";"0";"4.23";"6k";"COc1ccc(CSc2nnc(NC(=O)c3ccc(F)cc3)s2)cc1";"Ki";"'='";"195.0";"nM";"6.71";"";"";"UO_0000065";"17.87";"0.37";"2.48";"10.47";"False";"CHEMBL932076";"Inhibition of human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142311";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL409082";"";"0";"345.42";"0";"4.22";"6c";"O=C(Nc1nnc(SCc2ccccc2)s1)c1ccc(F)cc1";"Ki";"'='";"70.0";"nM";"7.16";"";"";"UO_0000065";"20.71";"0.42";"2.93";"13.04";"False";"CHEMBL932076";"Inhibition of human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142311";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL231524";"";"0";"538.08";"1";"4.35";"25";"Cc1cc(-c2cc(N)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12";"Ki";"'>'";"2500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL250623";"";"0";"511.01";"1";"3.70";"16";"Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N4CCNCC4)cc3)nc12";"Ki";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"13.41";"0.27";"3.15";"5.70";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL249821";"";"0";"539.06";"1";"4.48";"11";"Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12";"Ki";"'='";"3.4";"nM";"8.47";"";"";"UO_0000065";"15.71";"0.31";"3.99";"7.04";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL400403";"";"0";"503.01";"1";"4.93";"6";"Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(C(=O)NCCN4CCCC4)cc3)nc12";"Ki";"'='";"48.0";"nM";"7.32";"";"";"UO_0000065";"14.55";"0.28";"2.39";"7.09";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL411043";"";"0";"363.85";"0";"4.42";"21";"ClC(Cn1ncc2c(NCc3ccccc3)ncnc21)c1ccccc1";"Ki";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"17.58";"0.34";"1.98";"11.50";"True";"CHEMBL948149";"Binding affinity to human recombinant Abl by cell free assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142337";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None"
"CHEMBL250214";"";"0";"474.95";"0";"4.15";"7";"Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(C(=O)N4CCNCC4)cc3)nc12";"Ki";"'='";"1.7";"nM";"8.77";"";"";"UO_0000065";"18.46";"0.35";"4.62";"8.49";"False";"CHEMBL923928";"Inhibition of Abl";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL250019";"";"0";"553.09";"1";"4.82";"12";"Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N(C)CCN4CCCC4)cc3)nc12";"Ki";"'='";"1.2";"nM";"8.92";"";"";"UO_0000065";"16.13";"0.32";"4.10";"8.00";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL438610";"";"0";"310.38";"0";"3.77";"10, BAS0321734";"O=C(Nc1ccccc1)Nc1nnc(Cc2ccccc2)s1";"Ki";"'='";"58000.0";"nM";"4.24";"";"";"UO_0000065";"13.65";"0.26";"0.47";"6.33";"False";"CHEMBL859157";"Binding affinity to human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148493";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL478181";"";"0";"318.40";"0";"4.19";"2";"O=C(Nc1ncc(Cc2ccc(F)cc2)s1)c1cccs1";"Ki";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"21.63";"0.45";"2.70";"16.40";"False";"CHEMBL983798";"Inhibition of Abl kinase by cell free assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155853";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL250821";"";"0";"557.05";"1";"4.62";"21";"Cc1cc(-c2c(Cl)ccc(O)c2F)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12";"Ki";"'='";"1.3";"nM";"8.89";"";"";"UO_0000065";"15.95";"0.32";"4.27";"7.38";"False";"CHEMBL923928";"Inhibition of Abl";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL400303";"";"0";"573.51";"2";"5.13";"20";"Cc1cc(-c2c(Cl)ccc(O)c2Cl)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12";"Ki";"'='";"27.0";"nM";"7.57";"";"";"UO_0000065";"13.20";"0.27";"2.44";"6.29";"False";"CHEMBL923928";"Inhibition of Abl";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL245798";"";"0";"428.54";"0";"4.56";"31";"COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OC1CCN(C)CC1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL923923";"Inhibition of ABL";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140464";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL245800";"";"0";"390.49";"1";"5.20";"33";"N#Cc1cnc2ccc(-c3ccc(CN)cc3)cc2c1N[C@@H]1C[C@H]1c1ccccc1";"Ki";"'='";"770.0";"nM";"6.11";"";"";"UO_0000065";"15.66";"0.28";"0.91";"8.18";"False";"CHEMBL923923";"Inhibition of ABL";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140464";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL401251";"";"0";"389.46";"0";"4.11";"28";"COCCOc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC";"Ki";"'='";"390.0";"nM";"6.41";"";"";"UO_0000065";"16.46";"0.30";"2.30";"8.39";"False";"CHEMBL923923";"Inhibition of ABL";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140464";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL249820";"";"0";"441.90";"0";"3.75";"10";"Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(N)(=O)=O)cc3)nc12";"Ki";"'='";"7.7";"nM";"8.11";"";"";"UO_0000065";"18.36";"0.37";"4.36";"6.19";"False";"CHEMBL923928";"Inhibition of Abl";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL400403";"";"0";"503.01";"1";"4.93";"6";"Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(C(=O)NCCN4CCCC4)cc3)nc12";"Ki";"'='";"2.6";"nM";"8.59";"";"";"UO_0000065";"17.07";"0.33";"3.66";"8.31";"False";"CHEMBL923928";"Inhibition of Abl";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL251015";"";"0";"527.65";"1";"4.60";"24";"Cc1cc(-c2cccc3[nH]ccc23)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12";"Ki";"'='";"1770.0";"nM";"5.75";"";"";"UO_0000065";"10.90";"0.21";"1.15";"4.96";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL399268";"";"0";"538.07";"2";"5.36";"17";"Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)CCCN4CCCC4)cc3)nc12";"Ki";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"14.49";"0.29";"2.44";"7.20";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL268825";"";"0";"459.98";"1";"5.87";"3";"Cc1cc(-c2ccccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12";"Ki";"'='";"2340.0";"nM";"5.63";"";"";"UO_0000065";"12.24";"0.23";"-0.24";"8.91";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
