,chembl_id,IC50,units,canonical_smiles,pIC50
2292,CHEMBL255865,20,nM,O(/N=C/c1c(Nc2cc3c(n(Cc4cc(C#N)ccc4)nc3)cc2)ncnc1N)C,7.6989698
1470,CHEMBL57170,800000,nM,Fc1c(OC)ccc(C=C(C#N)C#N)c1,3.09691
1420,CHEMBL55979,400,nM,O=C(NC(C)c1ccccc1)/C(/C#N)=C/c1cc(O)c([O-])cc1,6.3979402
3481,CHEMBL1630117,3.9000001,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(-c2oc(C(=O)NO)cc2)cc3)c1,8.4089355
3579,CHEMBL324045,977.23999,nM,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(OCC)c(OCC)c3)c1,6.0099988
6809,CHEMBL4062192,467,nM,Fc1c(N2C(=O)N([C@@H]3CN(C(=O)CC)CC3)c3nc(Nc4cc(C)c(N5CCCCC5)cc4)ncc3C2)cc(OC)cc1,6.3306832
6221,CHEMBL3671547,866,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)CC)c(OCCNC(=O)C)c3)cc1,6.0624819
3603,CHEMBL112096,363.07999,nM,O(C)c1c(OC)cc2ncc(C#N)c(Nc3c(C(C)C)cccc3)c2c1,6.4399977
1203,CHEMBL330668,780,nM,O(C)c1c(OC)cc2ncnc(Nc3nc4c(nc3)cccc4)c2c1,6.1079054
1900,CHEMBL1203934,51,nM,Fc1ccc(Nc2ncnc3c2cc(OC)c(OC)c3)cc1,7.2924299
1795,CHEMBL425601,9,nM,Clc1c(F)c(Nc2ncnc3c2cc(CN(C)C2(C(=O)N)CN(C(C)C)C2)c(OC)c3)ccc1,8.0457573
1791,CHEMBL205870,85,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#C)cncn2)c1,7.070581
533,CHEMBL3085277,538,nM,N([C@@H](C)c1ccccc1)c1ncnc2c1sc1c2cccc1,6.2692175
2642,CHEMBL474343,5.7540002,nM,O=C(NC=1c2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2CC=1)C=C,8.2400303
2810,CHEMBL45068,25000000,nM,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1[O-],1.60206
4775,CHEMBL3218347,136,nM,Brc1cc(Nc2ncnc(Nc3cc(NC(=O)CC)ccc3)c2)ccc1,6.8664613
6776,CHEMBL4064937,28.700001,nM,Clc1c(N2C(=O)N([C@@H]3CN(C(=O)C4CC4)CC3)c3nc(Nc4cc(C)c(N5CC[NH+](C)CC5)cc4)ncc3C2)cccc1,7.5421181
3374,CHEMBL1242661,21000,nM,O(CC)c1cc2c(cc(-c3nn(C)c4ncnc(N)c34)cc2)cc1,4.6777806
3607,CHEMBL111688,158.49001,nM,FC(F)(F)c1c(F)ccc(Nc2c(C#N)cnc3c2cc(OC)c(OC)c3)c1,6.7999983
2794,CHEMBL480348,121,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3sc(-c4[nH]c(C[NH2+]CC)cc4)cc23)c1,6.9172144
3236,CHEMBL1170459,5760,nM,O=[N+]([O-])c1n(CCOC(=O)/C=C/c2cc3c(cc2)cccc3)c(C)nc1,5.2395773
54,CHEMBL77524,833000,nM,O=C([O-])/C(/C#N)=C/c1ccc(OC)cc1,3.079355
1511,CHEMBL56201,26000,nM,O=C1N(C)c2c(C1=C(C#N)C#N)cc(O)cc2,4.5850267
5633,CHEMBL3800262,57000,nM,O=C(Nc1cc(C(=O)C)ccc1)c1[nH]c2c(c1)cccc2,4.2441254
6170,CHEMBL3671497,4,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)N)c3)cc1,8.3979397
5889,CHEMBL3957416,14,nM,S(=O)([O-])(=Nc1ccc(Nc2ncnc3c2cc(NC(=O)/C=C/CN2CCOCC2)c(OCC)c3)cc1)c1ccccc1,7.8538718
4509,CHEMBL2408824,2940,nM,Clc1c(Oc2ccc(CCOc3c(S(=O)(=O)c4ccccc4)[n+]([O-])on3)cc2)nc(Nc2c(OC)cc(N3CC[NH+](C)CC3)cc2)nc1,5.5316525
1067,CHEMBL345837,12000,nM,S(Sc1n(C)c2c(c1C(=O)Nc1cc(C(=O)[O-])ccc1)cccc2)c1n(C)c2c(c1C(=O)Nc1cc(C(=O)[O-])ccc1)cccc2,4.9208188
4614,CHEMBL2437474,18280,nM,O(C)c1ccc(N2C(=O)C=Nc3c2nc(Nc2cc(N)ccc2)nc3)cc1,4.7380238
2975,CHEMBL598611,8.1999998,nM,O=C(NO)CCCCCCOc1c(OC)cc2c(Nc3cc(C#C)ccc3)ncnc2c1,8.0861864
256,CHEMBL35820,0.0060000001,nM,Brc1cc(Nc2ncnc3c2cc(OCC)c(OCC)c3)ccc1,11.221848
5111,CHEMBL3416593,629,nM,O(C)c1c(-c2sc3ncnc(N[C@@H](CO)c4ccccc4)c3c2)cccc1,6.2013493
1738,CHEMBL378145,3400,nM,Brc1cc(Nc2ncnc3Oc4c(cc(Cl)cc4)CNc23)ccc1,5.4685211
4023,CHEMBL1958220,5350,nM,Clc1ccc(C2N(C=3SCC(=O)N=3)N=C(c3ccc(OC)cc3)C2)cc1,5.271646
5382,CHEMBL4111809,25,nM,Fc1c(Nc2nc3n(C(C)C)c(Nc4cc(NC(=O)C)ccc4)nc3cn2)ccc(C(=O)N[N+]2=CCN(C)CC2)c1,7.6020598
2663,CHEMBL36164,3.467,nM,Brc1cc(Nc2ncnc3c2cc2c(C[NH+](CCO)CCO)c[nH]c2c3)ccc1,8.4600458
5931,CHEMBL3908303,11,nM,N([C@H](C)c1ccccc1)c1ncnc2oc(-c3ccccc3)cc12,7.9586072
6204,CHEMBL3671530,125,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)C([NH+](C)C)C)c3)cc1,6.90309
2735,CHEMBL511990,11,nM,Clc1c(F)ccc(Nc2ncnc3nc(Nc4ccc(C[NH+]5[C@H](CO)CCC5)cc4)sc23)c1,7.9586072
6710,CHEMBL4093114,112.4,nM,Brc1cc(Nc2ncnc3c2cc(NC(=S)Nc2c(F)c(C(F)(F)F)ccc2)cc3)ccc1,6.9492335
4357,CHEMBL2325101,50,nM,Clc1c(Cl)ccc(C2=NN(c3ccccc3)C(c3cc4c(cc3)cccc4)C2)c1,7.3010302
2174,CHEMBL53310,13.18,nM,N(C)c1nc2c(Nc3ccccc3)ncnc2cn1,7.8800845
1449,CHEMBL51028,880,nM,Clc1c(c(Cl)ccc1)-c1c(NC(=O)NC2CCCCC2)nc2nc(NCCCN3CC[NH+](C)CC3)ncc2c1,6.0555172
3892,CHEMBL1928954,1671,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc(Oc3cc(NC(=O)/C=C/c4ccccc4)ccc3)c2)c1,5.7770233
4181,CHEMBL2064388,30000,nM,O=C1N(CCC[NH+]2CCOCC2)c2c(O1)cc1ncnc(Nc3c(O)cccc3)c1c2,4.5228786
5806,CHEMBL3943512,65,nM,O=C(Nc1c(OC)cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1)CC,7.1870866
552,CHEMBL354310,330,nM,O=C(NCCO)C1CC(n2c3ncnc(N)c3c(-c3cc(OC)ccc3)c2)C1,6.4814858
4911,CHEMBL3263364,5530,nM,O(C)c1ccc(C2=NN(C=3SCC(=O)N=3)C(c3c4c(ccc3)cccc4)C2)cc1,5.2572751
2431,CHEMBL461114,76,nM,Clc1c(OCc2ccccc2)ccc(Nc2c(C(=O)Nc3ccccc3)c(N)ncn2)c1,7.1191864
6238,CHEMBL3671564,698,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)N2CC[NH2+]CC2)c3)cc1,6.1561446
1732,CHEMBL424853,1000,nM,Clc1c(F)ccc(Nc2ncnc3Oc4c(cc(F)cc4)CNc23)c1,6
3335,CHEMBL1241773,12000,nM,O=C(C)c1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,4.9208188
4378,CHEMBL2325108,210,nM,Clc1c(Cl)ccc(C2=NN(C(=S)N)C(c3c4c(ccc3)cccc4)C2)c1,6.6777806
2125,CHEMBL257872,216,nM,O(CC[NH+]1CCC(O)CC1)c1n[nH]c2ncnc(Nc3cc(C)c(Oc4cnc(C)cc4)cc3)c12,6.6655464
189,CHEMBL325589,510,nM,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(Nc3cnccc3)ncc2C=1,6.2924299
4168,CHEMBL2048789,7.8000002,nM,Clc1c(Oc2cc3C(=O)NCc3cc2)ccc(Nc2ncnc3c2n(CCO)cc3)c1,8.1079054
567,CHEMBL329672,23,nM,Clc1cc(Nc2ncnc3c2cccc3)ccc1,7.6382723
6166,CHEMBL3671493,10,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCCCNC(=O)C)c3)cc1,8
3382,CHEMBL1241683,100000,nM,Clc1nc2c(cc(-c3nn(C(C)C)c4ncnc(N)c34)cc2)cc1,4
4743,CHEMBL3219502,490,nM,Clc1cc(Nc2ncnc3c2cc(c(OC)c3)B2OC(C)(C)C(C)(C)O2)ccc1,6.309804
2589,CHEMBL489111,1.5140001,nM,O=C(Nc1c(OCCC[NH+]2CCOCC2)cc2ncnc(Cc3cc(C)ccc3)c2c1)C=C,8.8198738
6792,CHEMBL4105503,417,nM,O=C(CC)N1C[C@@H](N2C(=O)N(c3cc(OC)ccc3)Cc3c2nc(Nc2cc(C)c(N4CC[NH+](C)CC4)cc2)nc3)CC1,6.3798637
3252,CHEMBL1243345,0.80000001,nM,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)/C=C/CN(CCF)C)c(OCC)c3)c1,9.0969105
2123,CHEMBL402339,13,nM,Fc1cc(COc2c(OC)cc(Nc3ncnc4[nH]nc(OCC[NH+]5CCC(O)CC5)c34)cc2)ccc1,7.8860564
159,CHEMBL321193,150,nM,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(Nc3cc(O)ccc3)ncc2C=1,6.8239088
5620,CHEMBL3774926,139,nM,O=C1N(CCC[NH+]2CCOCC2)c2c(OC1)cc1ncnc(Nc3cc(C#C)ccc3)c1c2,6.8569851
3367,CHEMBL1242201,437,nM,O(C)c1c(O)cc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,6.3595185
6132,CHEMBL3655341,1,nM,Clc1c(F)ccc(Nc2ncnc3sc4c(c23)CCN(C(=O)/C=C/C[NH+](CCOC)CCOC)C4)c1,9
4441,CHEMBL2347964,179,nM,O=C(Nc1ccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)cc1)C,6.7471471
838,CHEMBL296407,4000,nM,O=C(N)/C(/C#N)=C/c1cc(O)c([O-])cc1,5.3979402
4354,CHEMBL2322329,4.5999999,nM,Clc1c(Oc2cc(C(F)(F)F)ccc2)ccc(Nc2ncnc3c2n(CCNC(=O)/C=C/C[NH+](C)C)cc3)c1,8.3372421
3033,CHEMBL592707,3260,nM,O=C1NC(=N/N=C/c2ccc(C)cc2)SC1,5.4867826
3456,CHEMBL1272168,3057,nM,O=C(C=C)N1Cc2sc3ncnc(N[C@@H](CO)c4ccccc4)c3c2CC1,5.5147047
507,CHEMBL116525,910,nM,Brc1cc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CC)c(OC)c3)ccc1,6.0409584
4825,CHEMBL3234747,44,nM,FC(F)(F)c1c(CN2CC[NH+](C)CC2)ccc(NC(=O)c2cc(NC(=O)c3cnc(NC4CC4)nc3)c(C)cc2)c1,7.3565474
4632,CHEMBL3088220,210,nM,Brc1ccc(/C(=N\NC(=O)c2ccc(O)cc2)/Cn2c(C)ncc2[N+](=O)[O-])cc1,6.6777806
3745,CHEMBL1830273,12240,nM,Brc1ccc(/C(=N\NC(=S)N)/C=C/c2ccccc2)cc1,4.9122186
6193,CHEMBL3671520,24,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)CS(=O)(=O)C)c3)cc1,7.6197886
1547,CHEMBL308593,230,nM,Clc1cc(Nc2ncnc3[nH]c(C)c(-c4ccccc4)c23)ccc1,6.6382723
378,CHEMBL422758,450,nM,Clc1cc(F)c(N=C2NC=Nc3c2cc(OC)c(OCC2CC[NH+](C)CC2)c3)c(F)c1,6.3467875
6148,CHEMBL3671476,47,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCC2CCN(C(=O)C(F)(F)F)CC2)c3)cc1,7.3279023
2917,CHEMBL598307,48,nM,O=C(OCCCCCCCCCCCCCCCC)COc1cc([O-])c2C(=O)C=C(c3ccccc3)Oc2c1,7.318759
55,CHEMBL305194,29,nM,Clc1c(F)ccc(Nc2ncnc3NC(=O)/C(=C\c4c(C)cc(C(=O)[O-])[nH]4)/c23)c1,7.5376019
4093,CHEMBL2031299,0.50999999,nM,Brc1cc(Nc2ncnc3c2cc(NC(=O)CCN2CCOCC2)cc3)ccc1,9.2924299
4523,CHEMBL2426288,23000,nM,Clc1c(-c2c3n(nc2)C=CC=C3)nc(Nc2c(OC)ccc(NC(=O)/C=C/C[NH+](C)C)c2)nc1,4.6382723
4589,CHEMBL1229592,2.1600001,nM,Clc1c(Oc2cc(NC(=O)C=C)ccc2)nc(Nc2c(OC)cc(N3CC[NH+](C)CC3)cc2)nc1,8.6655464
4103,CHEMBL2031309,2.02,nM,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)CCN2CCOCC2)c(OCC)c3)c1,8.6946487
1675,CHEMBL202162,5100,nM,O=C(OC)c1c(OCC[NH+](CC)CC)c2c(c3oc4C(=O)c5c(C(=O)c4c13)cccc5)cccc2,5.2924299
47,CHEMBL77197,1100000,nM,O=C([O-])/C(/C#N)=C(\C)/c1cc(OC)c(O)cc1,2.9586072
6717,CHEMBL4065288,10.2,nM,Brc1cc(Nc2ncnc3c2cc(NC(=S)Nc2cnccc2)cc3)ccc1,7.9913998
5582,CHEMBL3758585,690,nM,O=C(Nc1ccc(Nc2ncnc3c2cc(OC)c(OCCCN2CC[NH+](C)CC2)c3)cc1)c1ccc(C)cc1,6.1611509
735,CHEMBL544074,1100,nM,O=C(C(=C)C[NH+]1CCCCC1)c1ccc(OCc2ccccc2)cc1,5.9586072
3908,CHEMBL1928708,870,nM,Brc1cc(Nc2ncnc3c2cc(NCc2ccc(O)cc2)cc3)ccc1,6.0604806
5046,CHEMBL3325473,1100,nM,O=C(OC)C1=C(N)N(c2cnccc2)C2=C(C(=O)CCC2)C1C=1c2n(nnn2)-c2c(cccc2)C=1,5.9586072
2718,CHEMBL472942,13570,nM,Clc1c(F)ccc(Nc2c3c([nH+]cc2)cc(OC)c(NC(=O)/C=C/CN2CCOCC2)c3)c1,4.8674202
5736,CHEMBL3814460,259,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(NC(=O)NCCN2CCOCC2)cc3)c1,6.5867004
4973,CHEMBL3355879,1.08,nM,O=[N+]([O-])c1n(CCCOc2c(OC)cc3ncnc(Nc4cc(C#C)ccc4)c3c2)ccn1,8.9665766
5714,CHEMBL3815161,2.9200001,nM,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)NCCN2CCOCC2)cc3)c1,8.5346174
4767,CHEMBL3221555,5000,nM,O=C(OCC)Nc1c(C)ccc(Nc2ncnc3c2cc(OC)c(OC)c3)c1,5.3010302
2053,CHEMBL248220,1610,nM,O(Cc1ccccc1)c1c(OC)cc2ncc(C#N)c(N[C@H]3[C@H](c4ccccc4)C3)c2c1,5.7931743
3,CHEMBL306988,500000,nM,O=C([O-])CCC(=O)Nc1ccc(C(=C(C#N)C#N)C)cc1,3.3010299
3059,CHEMBL592426,1980,nM,Clc1c(O)c(CN(C(=O)Nc2ccccc2)Cc2ccc(F)cc2)ccc1,5.7033348
226,CHEMBL299194,8700,nM,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(NCCCN3CC[NH+](C)CC3)ncc2C=1,5.0604806
679,CHEMBL31876,330.20001,nM,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CC)cc3)c1,6.4812231
179,CHEMBL113863,1000,nM,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(NCCCCCC(=O)[O-])ncc2C=1,6
1586,CHEMBL185637,110,nM,Clc1c(F)ccc(NC2=NC=Nn3c2ccc3)c1,6.9586072
6725,CHEMBL4073912,137,nM,Clc1cc(Nc2ncnc3c2cc(NC(=S)Nc2scc(C(F)(F)F)n2)cc3)ccc1,6.8632793
872,CHEMBL165630,0.93000001,nM,Brc1cc(Nc2ncnc3c2cc(NCC[NH+](CCO)CCO)nc3)ccc1,9.031517
4536,CHEMBL1812567,8800,nM,Clc1cc(Nc2ncnc3c2cc(NC(=O)/C=C/c2sccc2)cc3)ccc1,5.0555172
2434,CHEMBL512391,41,nM,Clc1c(OCc2ccccc2)ccc(Nc2c(C(=O)[O-])c(N)ncn2)c1,7.3872161
3589,CHEMBL110035,851.14001,nM,O(C)c1c(OC)cc2ncc(C#N)c(Nc3cc(N(C)C)ccc3)c2c1,6.0699992
1258,CHEMBL92937,0.69,nM,Brc1cc(Nc2ncnc3c2cc(N)c(NC)c3)ccc1,9.1611509
3216,CHEMBL1173105,17310,nM,O=C(C)N1C(c2cc(OC)cc(OC)c2)CC(c2cc(C)c(C)cc2)=N1,4.761703
1475,CHEMBL59145,1540,nM,Clc1c(C(=O)/C(/C#N)=C/c2cc(O)c([O-])cc2)cccc1,5.8124795
