chembl_compound_id,chembl_activity_id,pIC50,smiles
CHEMBL5932679,26749466,6.6,O=C1CCc2c(Oc3ccc4c(c3)[C@H]3[C@H](NC(=O)c5ccc(CN6CCN(CC(F)(F)F)CC6)c(C(F)(F)F)c5)[C@H]3O4)ccnc2N1
CHEMBL7917,1454928,8.3,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
CHEMBL3758770,16457561,9.3,COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1
CHEMBL3759022,16457568,8.3,COc1cc(CO)ccc1-c1cc2c(NCc3ccccc3)ncnc2s1
CHEMBL427671,1951262,7.09,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12
CHEMBL5561503,25870223,5.86,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccn5ncnc5c4)c(C)c3)c3c(N)ncnc32)C1
CHEMBL3355883,14983527,7.42,COc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1OCCCn1ccnc1[N+](=O)[O-]
CHEMBL4780855,22968052,6.64,CN(C)CCNc1ccc(Nc2nc(Oc3ccc4ccc(=O)[nH]c4c3)c3sccc3n2)cc1F
CHEMBL3944095,16668234,6.42,CCC(=O)Nc1cc2c(Nc3ccc(NCc4ccccc4)cc3)ncnc2cc1OC
CHEMBL3671492,26587406,8.05,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCN(C)C
CHEMBL4205392,18450571,8.1,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(CC)c3n2)C[C@H]1F
CHEMBL5950205,28405679,8.7,Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(CC2(C)CC2)NN1
CHEMBL6051697,28405838,8.7,CC1(N2C=C([C@@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C(F)(F)F)c4c3)c3ccc(F)c4ncccc34)NN2)CC1
CHEMBL507827,2390194,8.76,O=C(/C=C/C(F)(F)F)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL4065288,18048489,7.99,S=C(Nc1cccnc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL5784215,28517066,5.72,C=CC(=O)N1CC(Nc2nc(Nc3ccc(OCCOC)cc3)c3c(c2F)CNC3=O)C1
CHEMBL3671522,26587496,7.16,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C(=C)C
CHEMBL460736,2390292,8.07,CN(N)C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ccnc2cn1
CHEMBL5185864,24919482,8.57,CCS(=O)(=O)n1cc(-c2nc(Nc3cc(C)c(N4CCC(N5CCN(C)CC5)CC4)cc3OC)ncc2Cl)c2ccccc21
CHEMBL5901867,28405697,9.0,Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2CC23CC3)NN1
CHEMBL521572,2390241,8.8,OCC(O)CN1Cc2cc3c(Nc4cccc(Br)c4)ncnc3cc21
CHEMBL2325096,12657560,6.52,Fc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1
CHEMBL4759003,22835809,10.0,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1
CHEMBL2347960,12723004,7.54,CN(C)CCCC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1
CHEMBL5193594,24749180,8.15,Cc1c(-c2ccc(N3CCOCC3)cc2)cc(C(F)F)c2cn(C(C(=O)Nc3nccs3)c3ncn4c3C[C@@H](F)C4)nc12
CHEMBL3786802,16540075,8.1,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](C(F)(F)F)C1
CHEMBL4066951,18243191,7.81,Nc1cccc(-c2cc3c(-c4[nH]c(-c5ccccc5)nc4-c4ccc(F)cc4)ccnc3[nH]2)c1
CHEMBL4080720,17956905,9.3,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl
CHEMBL6061137,27071267,6.26,CCC(=O)N1CCC(C)(c2ccc(Nc3nc(N4CCC[C@@H](N5CCN(C)C5=O)C4)cnc3C(N)=O)cc2)CC1
CHEMBL5773851,27652790,6.26,Cc1cccc(Nc2nc(Nc3cccc(NC(=O)/C=C/CN4CCOCC4)c3)ncc2F)c1
CHEMBL5837340,28404563,7.51,CC(C)(C)CNc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4(C(F)(F)F)CC4)NN3)c3cnn4ncccc34)cc12
CHEMBL251315,2047150,6.18,CCOc1cc2ncnc(C#C[C@](C)(Cc3ccccc3)N3CCC(C(=O)O)CC3)c2cc1OCC
CHEMBL3814211,16612217,6.5,NC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1
CHEMBL5612418,26111496,4.64,N#Cc1ccc(/C=N/NC(=O)Cc2csc3nc(-c4ccc(C#N)cc4)cn23)cc1
CHEMBL3741796,16404685,5.25,C=CC(=O)Nc1cccc(Nc2nc(N/N=C(\C)c3ccc(C)cc3)ncc2Cl)c1
CHEMBL5880998,28405724,8.7,Cn1ccc2c([C@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C5CC5)CC4)NN3)cccc2c1=O
CHEMBL3678957,16290567,7.47,CC(C)n1c(Nc2ccc(C(F)(F)F)cc2)nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21
CHEMBL3360614,14974594,7.78,COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-]
CHEMBL5631037,26142963,8.9,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C/CN(C)C)cc1Nc1nccc(-c2ncc3c(C)cccn23)n1
CHEMBL4540070,19112704,5.54,COc1cccc(/C=C/C(=O)c2ccc(NC(=O)c3cc4cc5cc(C)ccc5nc4s3)cc2)c1
CHEMBL6039698,28405253,8.52,Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C(F)(F)F)c4c3)C3=CN(C4(C(F)F)CC4)NN3)cccc2c1=O
CHEMBL3797963,16581393,8.14,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3OC)ncc2SC)c1
CHEMBL359830,2390162,5.0,O=C(Nc1ccc(F)cc1)Nc1ncnc2nn3ccccc3c12
CHEMBL4583178,19310292,7.72,O=C(/C=C/CN1CCOCC1)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1
CHEMBL5188618,24823390,7.77,COc1cc(N(C)CCN(C)C)c(NC(=O)c2cnccn2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL3416602,15229716,6.81,CC(Nc1ncnc2sc(Br)cc12)c1ccccc1
CHEMBL5397557,25535995,9.0,OCc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1
CHEMBL3671549,26587580,7.11,C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(F)c3)ncnc2cc1OCCNC(=O)CN(C)C
CHEMBL4079829,18029900,5.08,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccc(Cl)cc3)c12
CHEMBL4789312,22835819,8.66,OC[C@@H](Nc1ncnc2[nH]c(-c3cccnc3)cc12)c1ccccc1
CHEMBL5950429,26750171,8.66,CCN1CCN(Cc2ccc(C(=O)NC3C4Oc5c(C)cc(Oc6ccnc7c6CCC(=O)N7)cc5C34)cc2C(F)(F)F)CC1
CHEMBL5198812,24848236,9.05,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3ccccc3)C4)cc2)CC1
CHEMBL5591805,25979160,8.89,COc1cccc(-c2c(NC(=O)/C=C/CN(C)C)ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)c1
CHEMBL510155,2390164,7.35,C=CC(=O)Nc1ccc2ncnc(Cc3ccc(CN(C)C)c(Br)c3)c2c1
CHEMBL2385967,13322664,5.64,CN1CCN(Cc2ccc(C(=O)Nc3ccc(-c4cncc(C#N)c4Nc4ccc(OCc5ccccn5)c(Cl)c4)cc3)cc2)CC1
CHEMBL4552429,18896906,7.46,C=CC(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C
CHEMBL3758278,16457551,8.7,COc1cc(C(N)=O)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1
CHEMBL3671565,26587628,7.12,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)N1CCN(C(C)=O)CC1
CHEMBL5937803,26961262,6.84,CN(C)C/C=C/C(=O)N1CCC[C@@H](n2nc(C(=O)Nc3nc4cc(Cl)ccc4o3)c3c(N)ncnc32)C1
CHEMBL3655354,26576621,8.19,CC(C)N(C)C/C=C/C(=O)N1CCc2c(sc3ncc(C#N)c(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)C1
CHEMBL4083224,18172275,6.68,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCCN(C)CC5)c(C)c4)nc32)C1
CHEMBL3985086,16756451,6.96,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Cn4ccnc4)cc3OC)ncc2Cl)c1
CHEMBL3098313,13868174,4.74,CN(C)S(=O)(=O)c1ccc(Nc2nc(Cl)nc3cc4c(cc23)OCO4)cc1
CHEMBL372692,1601152,5.8,CCc1c(CC(=O)O)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12
CHEMBL381604,1710017,7.5,Nc1nccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1
CHEMBL5398686,25536001,7.77,[2H]C([2H])([2H])N(Cc1ccccc1)c1ncnc2[nH]c(-c3ccc(CO)cc3)cc12
CHEMBL5631951,26154071,7.43,COCCOc1cc2ncnc(Nc3cccc(S(=O)(=O)F)c3)c2cc1OCCOC
CHEMBL5786339,28403348,8.17,N#CCC[C@@H](Nc1c(C#N)cnc2c(Cl)cc(N[C@@H](C3=CN(C4CC4)NN3)c3ccc(F)nc3)cc12)c1ccccc1
CHEMBL5785533,28405721,8.52,Cn1ccc2c([C@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C(CF)CF)NN3)cccc2c1=O
CHEMBL5858538,27653204,7.26,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3)ncc2C(F)(F)F)c1
CHEMBL5802555,28883414,6.33,C=CC(=O)N1CCC(Nc2cncc(-c3cnc(Oc4cccc(Cl)c4)nc3)c2)CC1
CHEMBL6031178,28403141,7.28,CC(C)Oc1ccc([C@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)C2=CN(C3CCN(C(C)(C)C)CC3)NN2)cn1
CHEMBL4786797,22896505,6.3,Oc1c(Br)cccc1Nc1ncnc2cc3c(cc12)OCCO3
CHEMBL4743464,22896497,7.66,N#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1F
CHEMBL3805280,16588569,6.41,COCCOc1cc2ncnc(Nc3ccc(F)c(C#N)c3)c2c2c1OCCO2
CHEMBL5191556,24670258,7.99,C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3ccsc23)CC1
CHEMBL5197154,24848243,8.92,CN1CCC(c2ccc(-c3ccc4c(=O)n(C(C(=O)Nc5nccs5)c5ccccc5)ccc4c3)cc2)CC1
CHEMBL5832671,28404746,8.3,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(=O)N3CCCC3)CC2)NN1
CHEMBL5095169,24824831,8.96,CO[C@@H]1CCN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)C[C@@H]1F
CHEMBL5416252,25665208,8.1,CCS(=O)(=O)N1CCC(c2nc(-c3ccc(F)cc3)c(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)s2)CC1
CHEMBL5203195,24670265,8.02,C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)ncc2Cl)CC1
CHEMBL4752022,22848912,7.66,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1
CHEMBL4750734,22892161,7.14,Cn1c(-c2csc(N/N=C\c3ccc([N+](=O)[O-])o3)n2)nc2ccccc21
CHEMBL5593471,25979159,8.97,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1-c1ccccc1
CHEMBL5954631,27653306,6.26,C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OCCOC)c(F)c3)ncc2F)C1
CHEMBL5815729,26839114,6.5,Fc1ccc(Nc2ncnc3ccc(N[C@@H](c4ccc(Cl)cc4)c4cn(C5CCN(C6COC6)CC5)nn4)cc23)cc1Cl
CHEMBL275762,1495550,10.15,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1
CHEMBL5801199,28620689,5.27,COc1cc(C2CCN(C3CCNCC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1
CHEMBL5909001,27737939,6.26,COc1ccccc1C(=O)NCc1ccc(-c2nn([C@@H]3C=C[C@@H](O)C3)c3ncnc(N)c23)cc1
CHEMBL2316154,12615149,5.41,COc1cc(/C=C2\CCC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc(OC)c1
CHEMBL5747033,27619457,6.37,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(C4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)n1
CHEMBL5271151,25105720,9.22,C=CC(=O)Nc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3)CCC4)n2)ccc1N(C)CCN(C)C
CHEMBL248220,2045395,5.79,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCc1ccccc1
CHEMBL3758762,16457577,8.15,C[C@@H](Nc1ncnc2sc(-c3ccc(C(N)=O)cc3)cc12)c1ccccc1
CHEMBL5206110,24871191,9.15,COc1cc2ncnc3c2cc1OCCOCCOCCOc1ccc(Cl)cc1N3
CHEMBL3622628,15743485,6.78,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(C#N)c3)ncnc2cc1O[C@H]1CCOC1
CHEMBL5943220,27069938,5.26,CN(C)C(=O)N[C@@H]1CCCN(c2cnc(C(N)=O)c(Nc3ccc(C4CCN(C5CCCC5)CC4)cc3)n2)C1
CHEMBL3233782,14586680,7.42,O=C(/C=C/CN1CC(O)C1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1
CHEMBL5393923,25481292,10.22,COc1cc(N2CCC(N3CC(C)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1
CHEMBL3814956,16612224,7.21,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1
CHEMBL5174232,24823384,6.41,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL5755194,28403762,8.0,Cc1ncccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(Nc3cccc(Cl)c3)c2c1)C1=CN(C(C)C)NN1
CHEMBL5947228,28404830,7.85,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(N[C@H](C)C(C)(C)C)c2c1)C1=CN(C2(C(F)(F)F)CC2)NN1
CHEMBL2179119,18243210,6.04,Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)cc1
CHEMBL5920201,28405043,8.4,CC(C)(C)CNc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4(C(F)F)CC4)NN3)c3ccc(F)c4ncccc34)cc12
CHEMBL2031309,10888048,8.7,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1
CHEMBL2437461,13483487,5.96,C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)cc1
CHEMBL5817731,28403360,8.85,N#CCCC(Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4CC4)NN3)c3csc4c3CCN(C3COC3)C4)cc12)c1ccccc1
CHEMBL5939764,28405064,7.37,Cc1ccnc2cccc([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C(F)(F)F)CC4)NN3)c12
CHEMBL4780903,22848916,6.91,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@H]5CCN(C(=O)OC(C)(C)C)C5)c4n3)cc2)CC1
CHEMBL5874033,28403702,7.14,CC(N1C=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4cnc(F)c(F)c4)c3c2)c2cccnc2)NN1)C(F)(F)F
CHEMBL4062830,18172243,7.28,CCCN1CC[C@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1
CHEMBL4161396,18427557,7.34,COc1cc2ncnc(N3CCc4ccccc43)c2cc1NC(=O)/C=C/CN1CCCCC1
CHEMBL5990188,28403270,8.309999999999999,CC(C)(C)N1CCC(N2C=C([C@@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)c3cccc4c3CCN4)NN2)CC1
CHEMBL4078914,17998449,8.48,C=CC(=O)Nc1cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CC(C)N(C)C(C)C5)cc4OC)nc32)cc(C(F)(F)F)c1
CHEMBL2029442,10883988,6.32,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(c1cccc(N)c1)C(=O)N(C)C2
CHEMBL2070194,10988318,5.89,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)c1cccc2c1OCCO2
CHEMBL5780851,27652778,6.26,C=C(Cn1cccn1)C(=O)Nc1cccc(Nc2ncc(F)c(Nc3cccc(C)c3)n2)c1
CHEMBL4216025,18456117,4.82,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(N=[N+]=[N-])cc2)n1
CHEMBL5920911,27737759,6.26,CCOC(=O)C1CCC(n2nc(-c3ccc(CNC(=O)c4ccccc4OC)cc3)c3c(N)ncnc32)CC1
CHEMBL1088901,3261312,6.72,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL4279016,18722863,9.15,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1
CHEMBL3671528,26587517,6.7,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CN(C)CC
CHEMBL5408941,25533394,7.04,CN(C)CCn1ncc2cc(Nc3ncc(C(F)(F)F)c(-c4cn(C)c5ccccc45)n3)cc(Cl)c21
CHEMBL4096329,18029899,4.68,COc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1
CHEMBL5089073,24343046,7.43,C=CC(=O)N1CCC2(CC1)CNC(=O)c1cc(-c3ccnc(Nc4ccccc4OC)c3)[nH]c12
CHEMBL3344218,15130262,7.03,CCCCC(=O)ON[C@H](CS(C)(=O)=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CHEMBL4575267,19122081,7.58,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(-c2ccccc2)nn1
CHEMBL3671560,26587613,6.53,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNc1nccs1
CHEMBL2337363,12684836,4.2,Nc1nc(Nc2ccc(Cl)cc2)c2c(n1)[nH]c1cccc(Cl)c12
CHEMBL5398800,25482731,5.88,Cc1ccc(OCCOCCn2ccnc2[N+](=O)[O-])cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4079501,18039945,8.3,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccncc4)ccc23)c(OC)cc1N(C)CCN(C)C
CHEMBL6011434,28405418,8.52,Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C5CC5)CC4)NN3)cccc2c1=O
CHEMBL5943525,28517207,5.86,C=CC(=O)N1CCCC(N(CC)c2nc(Nc3ccc(N4CCOCC4)cc3)c3c(c2F)CNC3=O)C1
CHEMBL6048989,28404167,8.4,N#Cc1cnc2c(Cl)cc(N[C@H](C3=CN(C4CCNCC4)NN3)c3cncs3)cc2c1Nc1ccc(F)c(Cl)c1
CHEMBL1946845,8025235,4.51,CNc1nc(N/N=C\c2ccc(OC)cc2)nc(Nc2ccccc2)n1
CHEMBL3233768,14586664,5.19,C/C=C(\C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1
CHEMBL5927148,27738119,6.26,Nc1ncnc2c1c(-c1ccc(CNC(=O)c3cccc4cccnc34)cc1)nn2C1CCCC1
CHEMBL4475780,19172986,6.63,C=CC(=O)N(c1ccc(Cl)cc1F)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12
CHEMBL5920011,28404116,8.3,CC(C)N1C=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c2cscn2)NN1
CHEMBL5174629,24824813,6.68,CC(C)c1cnc(N2CC[C@@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12
CHEMBL4090330,18039957,5.58,C=CC(=O)Nc1cc(Nc2n[nH]c3ccccc23)ccc1N(C)CCN(C)C
CHEMBL3233774,14586672,8.0,O=C(/C=C/CNCC1COC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1
CHEMBL5938912,26811064,7.97,O=C(/C=C/CN1CCC1CO)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@H]1[C@@H]2COC[C@@H]21
CHEMBL5922445,27653054,6.26,C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3cccc(OC)c3)ncc2F)C1
CHEMBL5431583,25535984,7.7,CN(Cc1ccccc1)c1ncnc2[nH]c(-c3ccc(CO)cc3)cc12
CHEMBL5758432,28620839,5.75,COc1cc(N2CCNCC2)ccc1Nc1ncc(Br)c(Nc2ccccc2NS(N)(=O)=O)n1
CHEMBL6055007,27069854,6.26,CCC(=O)N1CCC(c2ccc(Nc3nc(N4CCC[C@@H](NC(=O)N5CCCCC5)C4)cnc3C(N)=O)cc2)CC1
CHEMBL5077378,24349080,8.89,COc1cc(N2CCC(N3CCN(C)CC3)CC2)c(-c2cn[nH]c2)cc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
CHEMBL4472571,18896911,5.76,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc2c(c(-c3cn(C)c4ccccc34)n1)CS(=O)(=O)CC2
CHEMBL5902375,27653024,6.26,C=CC(=O)N1CCCC(Oc2nc(Nc3ccc(OC)cc3)ncc2F)C1
CHEMBL1923007,10949888,7.47,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21
CHEMBL5205022,24833318,8.03,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCCCC)c23)c1
CHEMBL6025187,26750093,8.29,CN1CCN(c2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1
CHEMBL6023228,28404719,8.4,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C(C)(C)C(F)F)NN1
CHEMBL6000425,28405853,7.89,COc1nccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C(F)(F)F)c4c3)C3=CN(C4(C5CC5)CC4)NN3)cccc12
CHEMBL3612590,15698270,6.89,CCOC(=O)CCCn1c(=O)oc2cc3ncnc(Nc4ccc5[nH]ncc5c4)c3cc21
CHEMBL554,22408224,7.62,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CHEMBL4753008,22835836,6.05,Cn1c(-c2ccccc2)cc2c(N[C@H](CO)c3ccccc3)ncnc21
CHEMBL5971649,28405571,7.8,Cc1nc(C#N)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(F)(F)F)CC2)NN1
CHEMBL4060198,18172246,7.75,CCC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3F)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1
CHEMBL5193451,24907644,8.55,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1ccn2ncnc2c1
CHEMBL2048788,10949887,7.48,CC(C)(C)NC(=O)c1cccc(Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)c1
CHEMBL4094823,17989463,7.49,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3
CHEMBL4453068,22896495,7.31,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1
CHEMBL5595344,26009453,8.7,C=CCCN(C)CCN(C)c1cc(OC)c(Nc2nccc(-c3cn(C)c4ccccc34)n2)cc1NC(=O)C=C
CHEMBL5175489,24907656,8.83,C=CC(=O)Nc1cc2c(Nc3ccc(Oc4cc5nncn5cn4)c(C)c3)ncnc2cc1OCC
CHEMBL80745,2202717,6.0,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O
CHEMBL5881569,27750548,6.71,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c(C)nn(C)c3C)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5811714,28404620,8.0,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)CC#N)c2c1)C1=CN(C2(C(F)F)CC2)NN1
CHEMBL401251,2045390,7.28,COCCOc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC
CHEMBL5916523,28403408,8.7,CC[C@@H](Nc1c(C#N)cnc2c(Cl)cc(N[C@@H](C3=CN(C4CC4)NN3)c3ccc(F)nc3)cc12)c1ccccc1
