#name smart
>2EsterGroups C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]
sulphur-nitrogen-single-bond [SX2H0][N]
Thiobenzothiazole c12ccccc1(SC(S)=N2)
thiobenzothiazole c12ccccc1(SC(=S)N2)
Thiocarbonyl-group [C,c]=S
thioester SC=O
thiol [S-]
thiol [SH]
Three-membered-heterocycle *1[O,S,N]*1
triflate OS(=O)(=O)C(F)(F)F
triphenyl-methylsilyl [SiR0,CR0](c1ccccc1)(c2ccccc2)(c3ccccc3)
triple-bond C#C
