canonical_smiles,molecule_chembl_id
OC(=O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,CHEMBL289162
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]4CCCN(C)C4,CHEMBL1907944
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,CHEMBL607707
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN4CCOCC4,CHEMBL24137
CN(C)C\C=C\C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,CHEMBL30973
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,CHEMBL126623
CNc1cc2ncnc(Nc3cccc(C)c3)c2cn1,CHEMBL127082
CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL341319
COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2ccccc2)c1O,CHEMBL116595
Clc1cccc(Nc2[nH]nc3ncnc(Nc4ccccc4)c23)c1,CHEMBL121260
COc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,CHEMBL122411
Clc1cccc(Nc2nc[nH]c3nnc(Nc4cccc(Cl)c4)c23)c1,CHEMBL333038
CN(C)N=Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL137027
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL53428
Cl.COc1ccc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2c1,CHEMBL542729
COc1cccc2ncnc(Nc3cccc(Br)c3)c12,CHEMBL119033
Brc1cccc(Nc2ncnc3ccccc23)c1,CHEMBL290096
Cc1ccc(Nc2[nH]cnc3nc4CCCCc4c23)cc1,CHEMBL74481
Oc1cccc(Nc2[nH]cnc3nc4CCCCc4c23)c1,CHEMBL72322
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,CHEMBL7917
CO[C@H]1[C@H](C[C@@H]2O[C@@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)CN,CHEMBL338935
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCCC4,CHEMBL291514
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,CHEMBL939
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC[C@H](O)CN4CCOCC4,CHEMBL1788321
Cl.Cl.Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,CHEMBL545315
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL300217
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL53711
FC(F)(F)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL135142
C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL93464
CN(C)CCn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,CHEMBL176891
COc1cc2ncnc(Nc3ccc(F)c(c3)C#C)c2cc1OC,CHEMBL65250
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN5CCOCC5)cc23)c1,CHEMBL40130
CN(C)CCCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,CHEMBL287289
CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,CHEMBL287007
Cl.COc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1OC,CHEMBL544865
CO.Nc1cccc2c3ncnc(Nc4cccc(Br)c4)c3sc12,CHEMBL151593
Cl.[O-][N+](=O)c1cccc2c3ncnc(Nc4cccc(Br)c4)c3sc12,CHEMBL540082
CO.Brc1cccc(Nc2ncnc3c4scnc4sc23)c1,CHEMBL346863
COc1ccc(CNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)cc1,CHEMBL53299
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL51853
C(Nc1ncnc2ncccc12)c3ccccc3,CHEMBL54383
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL53428
Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,CHEMBL328955
Nc1ccc2c(Nc3cccc(c3)C(F)(F)F)ncnc2c1,CHEMBL433205
COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,CHEMBL93181
COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC,CHEMBL94431
OCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL94062
CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],CHEMBL93734
C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL93464
Brc1cccc(Nc2ncnc3ccc(NC(=O)\C=C\CN4CCCCC4)cc23)c1,CHEMBL94068
CCN(CC)C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL91925
CN1C(=O)C(=Cc2cnc(Nc3cccc(CO)c3)nc12)c4c(Cl)cccc4Cl,CHEMBL327127
CN1C(=O)C(=Cc2cnc(Nc3ccccc3)nc12)c4c(Cl)cccc4Cl,CHEMBL301612
CN(C)C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL94061
COc1cc2ncnc(NC3CC3c4ccccc4)c2cc1OCCCN(C)C,CHEMBL91484
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,CHEMBL176582
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,CHEMBL177053
Oc1ccc(\C=C(/C#N)\C(=O)c2ccc(O)c(O)c2)cc1O,CHEMBL56393
Fc1cc(Cl)c(Cl)cc1Nc2ncnc3ccc(NC(=O)CCl)cc23,CHEMBL275762
ClCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL193159
Fc1cc(Cl)c(Cl)cc1Nc2ncnc3ccc(NC(=O)CCl)cc23,CHEMBL275762
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,CHEMBL430571
Nc1nccc(n1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,CHEMBL381604
Nc1ccccc1C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,CHEMBL204625
Nc1ccc(cc1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,CHEMBL205966
COCCN1CCC(CC1)Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC,CHEMBL214857
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CC(C4)C(=O)N,CHEMBL207037
CNC(=O)[C@H]1CCCN1Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC,CHEMBL383760
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C4(CCN(C)CC4)C(=O)N,CHEMBL207130
CCCN1CCC(CC1)Oc2cc(OC)cc3ncnc(Nc4ccc(F)c(Cl)c4)c23,CHEMBL203779
COc1cc(OC2CCOC2)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c1,CHEMBL204268
CCOC(=O)c1cn2ncnc(Nc3ccc4[nH]ncc4c3)c2c1CC,CHEMBL372112
COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,CHEMBL194389
CC1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c23)C1,CHEMBL398793
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,CHEMBL180022
CCOc1cc2ncnc(NC3=CC(=O)C(=CC3=O)OCc4cccc(F)c4)c2cc1NC(=O)\C=C\CN(C)C,CHEMBL428741
